name,code,description,layer,parent
Dhaka East,Dhaka East,Dhaka East,Wing,
Dhaka West,Dhaka West,Dhaka West,Wing,
Ctg Wing,Ctg Wing,Ctg Wing,Wing,
Comilla Wing,Comilla Wing,Comilla Wing,Wing,
Sylhet wing,Sylhet wing,Sylhet wing,Wing,
North Bengal,North Bengal,North Bengal,Wing,
South Bengal,South Bengal,South Bengal,Wing,
PL-A(Dhaka East),PL-A(Dhaka East),PL-A(Dhaka East),PL,Dhaka East
PL-A(Dhaka West),PL-A(Dhaka West),PL-A(Dhaka West),PL,Dhaka West
PL-A(Ctg Wing),PL-A(Ctg Wing),PL-A(Ctg Wing),PL,Ctg Wing
PL-A(Comilla Wing),PL-A(Comilla Wing),PL-A(Comilla Wing),PL,Comilla Wing
PL-A(Sylhet wing),PL-A(Sylhet wing),PL-A(Sylhet wing),PL,Sylhet wing
PL-A(North Bengal),PL-A(North Bengal),PL-A(North Bengal),PL,North Bengal
PL-A(South Bengal),PL-A(South Bengal),PL-A(South Bengal),PL,South Bengal
PL-B(Dhaka East),PL-B(Dhaka East),PL-B(Dhaka East),PL,Dhaka East
PL-B(Dhaka West ),PL-B(Dhaka West ),PL-B(Dhaka West ),PL,Dhaka West
PL-B(Ctg Wing),PL-B(Ctg Wing),PL-B(Ctg Wing),PL,Ctg Wing
PL-B(Comilla),PL-B(Comilla),PL-B(Comilla),PL,Comilla Wing
PL-B(Sylhet),PL-B(Sylhet),PL-B(Sylhet),PL,Sylhet wing
PL-B(North Bengal),PL-B(North Bengal),PL-B(North Bengal),PL,North Bengal
PL-B(South Bengal),PL-B(South Bengal),PL-B(South Bengal),PL,South Bengal
PL-C(Dhaka East),PL-C(Dhaka East),PL-C(Dhaka East),PL,Dhaka East
PL-C(Dhaka West),PL-C(Dhaka West),PL-C(Dhaka West),PL,Dhaka West
PL-C(Chittagong Wing),PL-C(Chittagong Wing),PL-C(Chittagong Wing),PL,Ctg Wing
PL-C(Comilla Wing),PL-C(Comilla Wing),PL-C(Comilla Wing),PL,Comilla Wing
PL-C(Sylhet),PL-C(Sylhet),PL-C(Sylhet),PL,Sylhet wing
PL-C(North Bengal),PL-C(North Bengal),PL-C(North Bengal),PL,North Bengal
PL-C(South Bengal),PL-C(South Bengal),PL-C(South Bengal),PL,South Bengal
Narayanganj[Div](A),Narayanganj[Div](A),Narayanganj[Div](A),Division,PL-A(Dhaka East)
Dhaka South[Div](A),Dhaka South[Div](A),Dhaka South[Div](A),Division,PL-A(Dhaka East)
Dhaka North[Div](A),Dhaka North[Div](A),Dhaka North[Div](A),Division,PL-A(Dhaka East)
Dhaka Metro[Div](A),Dhaka Metro[Div](A),Dhaka Metro[Div](A),Division,PL-A(Dhaka West)
Gazipur[Div](A),Gazipur[Div](A),Gazipur[Div](A),Division,PL-A(Dhaka West)
Mymensingh[Div](A),Mymensingh[Div](A),Mymensingh[Div](A),Division,PL-A(Dhaka West)
Chittagong-1[Div](A),Chittagong-1[Div](A),Chittagong-1[Div](A),Division,PL-A(Ctg Wing)
Chittagong-2[Div](A),Chittagong-2[Div](A),Chittagong-2[Div](A),Division,PL-A(Ctg Wing)
Noakhali[Div](A),Noakhali[Div](A),Noakhali[Div](A),Division,PL-A(Comilla Wing)
Comilla[Div](A),Comilla[Div](A),Comilla[Div](A),Division,PL-A(Comilla Wing)
Sylhet[Div](A),Sylhet[Div](A),Sylhet[Div](A),Division,PL-A(Sylhet wing)
Rangpur[Div](A),Rangpur[Div](A),Rangpur[Div](A),Division,PL-A(North Bengal)
Bogra[Div](A),Bogra[Div](A),Bogra[Div](A),Division,PL-A(North Bengal)
Khulna[Div](A),Khulna[Div](A),Khulna[Div](A),Division,PL-A(South Bengal)
Barisal[Div](A),Barisal[Div](A),Barisal[Div](A),Division,PL-A(South Bengal)
Narayangonj[Reg](A),Narayangonj[Reg](A),Narayangonj[Reg](A),Region,Narayanganj[Div](A)
Narshingdi[Reg](A),Narshingdi[Reg](A),Narshingdi[Reg](A),Region,Narayanganj[Div](A)
Khilgaon[Reg](A),Khilgaon[Reg](A),Khilgaon[Reg](A),Region,Dhaka South[Div](A)
Jatrabari[Reg](A),Jatrabari[Reg](A),Jatrabari[Reg](A),Region,Dhaka South[Div](A)
Gulshan[Reg](A),Gulshan[Reg](A),Gulshan[Reg](A),Region,Dhaka North[Div](A)
Uttara[Reg](A),Uttara[Reg](A),Uttara[Reg](A),Region,Dhaka North[Div](A)
Mirpur[Reg](A),Mirpur[Reg](A),Mirpur[Reg](A),Region,Dhaka Metro[Div](A)
Mohammadpur[Reg](A),Mohammadpur[Reg](A),Mohammadpur[Reg](A),Region,Dhaka Metro[Div](A)
Lalbag[Reg](A),Lalbag[Reg](A),Lalbag[Reg](A),Region,Dhaka Metro[Div](A)
Gazipur[Reg](A),Gazipur[Reg](A),Gazipur[Reg](A),Region,Gazipur[Div](A)
Savar[Reg](A),Savar[Reg](A),Savar[Reg](A),Region,Gazipur[Div](A)
Mymensingh[Reg](A),Mymensingh[Reg](A),Mymensingh[Reg](A),Region,Mymensingh[Div](A)
Tangail[Reg](A),Tangail[Reg](A),Tangail[Reg](A),Region,Mymensingh[Div](A)
Ctg. North[Reg](A),Ctg. North[Reg](A),Ctg. North[Reg](A),Region,Chittagong-1[Div](A)
Potiya[Reg](A),Potiya[Reg](A),Potiya[Reg](A),Region,Chittagong-1[Div](A)
Cox's Bazar[Reg](A),Cox's Bazar[Reg](A),Cox's Bazar[Reg](A),Region,Chittagong-1[Div](A)
Ctg. Metro[Reg](A),Ctg. Metro[Reg](A),Ctg. Metro[Reg](A),Region,Chittagong-2[Div](A)
Hathazari[Reg](A),Hathazari[Reg](A),Hathazari[Reg](A),Region,Chittagong-2[Div](A)
Direct Party[Reg](A),Direct Party[Reg](A),Direct Party[Reg](A),Region,Chittagong-2[Div](A)
Noakhali[Reg](A),Noakhali[Reg](A),Noakhali[Reg](A),Region,Noakhali[Div](A)
Feni[Reg](A),Feni[Reg](A),Feni[Reg](A),Region,Noakhali[Div](A)
Comilla[Reg](A),Comilla[Reg](A),Comilla[Reg](A),Region,Comilla[Div](A)
Chandpur[Reg](A),Chandpur[Reg](A),Chandpur[Reg](A),Region,Comilla[Div](A)
B. Baria[Reg](A),B. Baria[Reg](A),B. Baria[Reg](A),Region,Comilla[Div](A)
Sylhet North[Reg](A),Sylhet North[Reg](A),Sylhet North[Reg](A),Region,Sylhet[Div](A)
Sylhet South[Reg](A),Sylhet South[Reg](A),Sylhet South[Reg](A),Region,Sylhet[Div](A)
Sreemangal[Reg](A),Sreemangal[Reg](A),Sreemangal[Reg](A),Region,Sylhet[Div](A)
Rangpur[Reg](A),Rangpur[Reg](A),Rangpur[Reg](A),Region,Rangpur[Div](A)
Dinajpur[Reg](A),Dinajpur[Reg](A),Dinajpur[Reg](A),Region,Rangpur[Div](A)
Bogra[Reg](A),Bogra[Reg](A),Bogra[Reg](A),Region,Bogra[Div](A)
Rajshahi[Reg](A),Rajshahi[Reg](A),Rajshahi[Reg](A),Region,Bogra[Div](A)
Khulna[Reg](A),Khulna[Reg](A),Khulna[Reg](A),Region,Khulna[Div](A)
Jessore[Reg](A),Jessore[Reg](A),Jessore[Reg](A),Region,Khulna[Div](A)
Barisal[Reg](A),Barisal[Reg](A),Barisal[Reg](A),Region,Barisal[Div](A)
Potuakhali[Reg](A),Potuakhali[Reg](A),Potuakhali[Reg](A),Region,Barisal[Div](A)
Faridpur[Reg](A),Faridpur[Reg](A),Faridpur[Reg](A),Region,Barisal[Div](A)
Narayangonj[Terr](A),Narayangonj[Terr](A),Narayangonj[Terr](A),Territory,Narayangonj[Reg](A)
Fatulla[Terr](A),Fatulla[Terr](A),Fatulla[Terr](A),Territory,Narayangonj[Reg](A)
Adamjee[Terr](A),Adamjee[Terr](A),Adamjee[Terr](A),Territory,Narayangonj[Reg](A)
Sonargaon[Terr](A),Sonargaon[Terr](A),Sonargaon[Terr](A),Territory,Narayangonj[Reg](A)
Narshingdi[Terr](A),Narshingdi[Terr](A),Narshingdi[Terr](A),Territory,Narshingdi[Reg](A)
Bhairab[Terr](A),Bhairab[Terr](A),Bhairab[Terr](A),Territory,Narshingdi[Reg](A)
Kishoreganj[Terr](A),Kishoreganj[Terr](A),Kishoreganj[Terr](A),Territory,Narshingdi[Reg](A)
Rupgonj[Terr](A),Rupgonj[Terr](A),Rupgonj[Terr](A),Territory,Narshingdi[Reg](A)
Kaptan Bazar[Terr](A),Kaptan Bazar[Terr](A),Kaptan Bazar[Terr](A),Territory,Khilgaon[Reg](A)
Jatrabari[Terr](A),Jatrabari[Terr](A),Jatrabari[Terr](A),Territory,Jatrabari[Reg](A)
Jurain[Terr](A),Jurain[Terr](A),Jurain[Terr](A),Territory,Jatrabari[Reg](A)
Gendaria[Terr](A),Gendaria[Terr](A),Gendaria[Terr](A),Territory,Jatrabari[Reg](A)
Sreenagar[Terr](A),Sreenagar[Terr](A),Sreenagar[Terr](A),Territory,Jatrabari[Reg](A)
Nababgonj[Terr](A),Nababgonj[Terr](A),Nababgonj[Terr](A),Territory,Jatrabari[Reg](A)
Zinzira[Terr](A),Zinzira[Terr](A),Zinzira[Terr](A),Territory,Jatrabari[Reg](A)
Mohakhali[Terr](A),Mohakhali[Terr](A),Mohakhali[Terr](A),Territory,Gulshan[Reg](A)
Kawran Bazar[Terr](A),Kawran Bazar[Terr](A),Kawran Bazar[Terr](A),Territory,Gulshan[Reg](A)
Khilkhet[Terr](A),Khilkhet[Terr](A),Khilkhet[Terr](A),Territory,Uttara[Reg](A)
Mirer Bazar[Terr](A),Mirer Bazar[Terr](A),Mirer Bazar[Terr](A),Territory,Uttara[Reg](A)
Mirpur-1[Terr](A),Mirpur-1[Terr](A),Mirpur-1[Terr](A),Territory,Mirpur[Reg](A)
Mirpur-2[Terr](A),Mirpur-2[Terr](A),Mirpur-2[Terr](A),Territory,Mirpur[Reg](A)
Pallobi[Terr](A),Pallobi[Terr](A),Pallobi[Terr](A),Territory,Mirpur[Reg](A)
Kachukhet[Terr](A),Kachukhet[Terr](A),Kachukhet[Terr](A),Territory,Mirpur[Reg](A)
Dhamalkot[Terr](A),Dhamalkot[Terr](A),Dhamalkot[Terr](A),Territory,Mirpur[Reg](A)
Mohammadpur[Terr](A),Mohammadpur[Terr](A),Mohammadpur[Terr](A),Territory,Mohammadpur[Reg](A)
Dhanmondi[Terr](A),Dhanmondi[Terr](A),Dhanmondi[Terr](A),Territory,Mohammadpur[Reg](A)
New Market[Terr](A),New Market[Terr](A),New Market[Terr](A),Territory,Mohammadpur[Reg](A)
Lalbag[Terr](A),Lalbag[Terr](A),Lalbag[Terr](A),Territory,Lalbag[Reg](A)
Kamrangirchor[Terr](A),Kamrangirchor[Terr](A),Kamrangirchor[Terr](A),Territory,Lalbag[Reg](A)
Gazipura[Terr](A),Gazipura[Terr](A),Gazipura[Terr](A),Territory,Gazipur[Reg](A)
Konabari[Terr](A),Konabari[Terr](A),Konabari[Terr](A),Territory,Gazipur[Reg](A)
Joydebpur[Terr](A),Joydebpur[Terr](A),Joydebpur[Terr](A),Territory,Gazipur[Reg](A)
Bormi[Terr](A),Bormi[Terr](A),Bormi[Terr](A),Territory,Gazipur[Reg](A)
EPZ[Terr](A),EPZ[Terr](A),EPZ[Terr](A),Territory,Savar[Reg](A)
Manikgonj[Terr](A),Manikgonj[Terr](A),Manikgonj[Terr](A),Territory,Savar[Reg](A)
Ashulia[Terr](A),Ashulia[Terr](A),Ashulia[Terr](A),Territory,Savar[Reg](A)
Mymensingh[Terr](A),Mymensingh[Terr](A),Mymensingh[Terr](A),Territory,Mymensingh[Reg](A)
Valuka[Terr](A),Valuka[Terr](A),Valuka[Terr](A),Territory,Mymensingh[Reg](A)
Netrokona[Terr](A),Netrokona[Terr](A),Netrokona[Terr](A),Territory,Mymensingh[Reg](A)
Fulpur[Terr](A),Fulpur[Terr](A),Fulpur[Terr](A),Territory,Mymensingh[Reg](A)
Sherpur[Terr](A),Sherpur[Terr](A),Sherpur[Terr](A),Territory,Mymensingh[Reg](A)
Tangail[Terr](A),Tangail[Terr](A),Tangail[Terr](A),Territory,Tangail[Reg](A)
Modupur[Terr](A),Modupur[Terr](A),Modupur[Terr](A),Territory,Tangail[Reg](A)
Jamalpur[Terr](A),Jamalpur[Terr](A),Jamalpur[Terr](A),Territory,Tangail[Reg](A)
Rangunia[Terr](A),Rangunia[Terr](A),Rangunia[Terr](A),Territory,Ctg. North[Reg](A)
Bahaddarhat[Terr](A),Bahaddarhat[Terr](A),Bahaddarhat[Terr](A),Territory,Ctg. North[Reg](A)
Riazuddin Bazar[Terr](A),Riazuddin Bazar[Terr](A),Riazuddin Bazar[Terr](A),Territory,Ctg. North[Reg](A)
Potiya[Terr](A),Potiya[Terr](A),Potiya[Terr](A),Territory,Potiya[Reg](A)
Amirabad[Terr](A),Amirabad[Terr](A),Amirabad[Terr](A),Territory,Potiya[Reg](A)
Anowara[Terr](A),Anowara[Terr](A),Anowara[Terr](A),Territory,Potiya[Reg](A)
Cox's Bazar[Terr](A),Cox's Bazar[Terr](A),Cox's Bazar[Terr](A),Territory,Cox's Bazar[Reg](A)
Teknaf[Terr](A),Teknaf[Terr](A),Teknaf[Terr](A),Territory,Cox's Bazar[Reg](A)
Chokoria[Terr](A),Chokoria[Terr](A),Chokoria[Terr](A),Territory,Cox's Bazar[Reg](A)
Agrabad[Terr](A),Agrabad[Terr](A),Agrabad[Terr](A),Territory,Ctg. Metro[Reg](A)
Potenga[Terr](A),Potenga[Terr](A),Potenga[Terr](A),Territory,Ctg. Metro[Reg](A)
Pahartoli[Terr](A),Pahartoli[Terr](A),Pahartoli[Terr](A),Territory,Ctg. Metro[Reg](A)
Hathazari[Terr](A),Hathazari[Terr](A),Hathazari[Terr](A),Territory,Hathazari[Reg](A)
Fatikchori[Terr](A),Fatikchori[Terr](A),Fatikchori[Terr](A),Territory,Hathazari[Reg](A)
Khagrachori[Terr](A),Khagrachori[Terr](A),Khagrachori[Terr](A),Territory,Hathazari[Reg](A)
Direct Party[Terr](A),Direct Party[Terr](A),Direct Party[Terr](A),Territory,Direct Party[Reg](A)
Chowmohoni[Terr](A),Chowmohoni[Terr](A),Chowmohoni[Terr](A),Territory,Noakhali[Reg](A)
Senbag[Terr](A),Senbag[Terr](A),Senbag[Terr](A),Territory,Noakhali[Reg](A)
Maijdee[Terr](A),Maijdee[Terr](A),Maijdee[Terr](A),Territory,Noakhali[Reg](A)
Laxmipur[Terr](A),Laxmipur[Terr](A),Laxmipur[Terr](A),Territory,Noakhali[Reg](A)
Raypur[Terr](A),Raypur[Terr](A),Raypur[Terr](A),Territory,Noakhali[Reg](A)
Sonaimuri[Terr](A),Sonaimuri[Terr](A),Sonaimuri[Terr](A),Territory,Noakhali[Reg](A)
Feni[Terr](A),Feni[Terr](A),Feni[Terr](A),Territory,Feni[Reg](A)
Baroiarhat[Terr](A),Baroiarhat[Terr](A),Baroiarhat[Terr](A),Territory,Feni[Reg](A)
Dagon Bhuiyan[Terr](A),Dagon Bhuiyan[Terr](A),Dagon Bhuiyan[Terr](A),Territory,Feni[Reg](A)
Comilla[Terr](A),Comilla[Terr](A),Comilla[Terr](A),Territory,Comilla[Reg](A)
Choddogram[Terr](A),Choddogram[Terr](A),Choddogram[Terr](A),Territory,Comilla[Reg](A)
Laksham[Terr](A),Laksham[Terr](A),Laksham[Terr](A),Territory,Comilla[Reg](A)
Chandina [Terr](A),Chandina [Terr](A),Chandina [Terr](A),Territory,Comilla[Reg](A)
Chandpur[Terr](A),Chandpur[Terr](A),Chandpur[Terr](A),Territory,Chandpur[Reg](A)
Faridgonj[Terr](A),Faridgonj[Terr](A),Faridgonj[Terr](A),Territory,Chandpur[Reg](A)
Hazigonj[Terr](A),Hazigonj[Terr](A),Hazigonj[Terr](A),Territory,Chandpur[Reg](A)
B. Baria[Terr](A),B. Baria[Terr](A),B. Baria[Terr](A),Territory,B. Baria[Reg](A)
Companygonj[Terr](A),Companygonj[Terr](A),Companygonj[Terr](A),Territory,B. Baria[Reg](A)
Nobinagar[Terr](A),Nobinagar[Terr](A),Nobinagar[Terr](A),Territory,B. Baria[Reg](A)
Kosba[Terr](A),Kosba[Terr](A),Kosba[Terr](A),Territory,B. Baria[Reg](A)
Sorail[Terr](A),Sorail[Terr](A),Sorail[Terr](A),Territory,B. Baria[Reg](A)
Sylhet Metro-1[Terr](A),Sylhet Metro-1[Terr](A),Sylhet Metro-1[Terr](A),Territory,Sylhet North[Reg](A)
Sylhet Metro-2[Terr](A),Sylhet Metro-2[Terr](A),Sylhet Metro-2[Terr](A),Territory,Sylhet North[Reg](A)
Tuker Bazar[Terr](A),Tuker Bazar[Terr](A),Tuker Bazar[Terr](A),Territory,Sylhet North[Reg](A)
Jointapur[Terr](A),Jointapur[Terr](A),Jointapur[Terr](A),Territory,Sylhet North[Reg](A)
Chattak[Terr](A),Chattak[Terr](A),Chattak[Terr](A),Territory,Sylhet North[Reg](A)
Sunamgonj[Terr](A),Sunamgonj[Terr](A),Sunamgonj[Terr](A),Territory,Sylhet North[Reg](A)
South Surma[Terr](A),South Surma[Terr](A),South Surma[Terr](A),Territory,Sylhet South[Reg](A)
Biswanath[Terr](A),Biswanath[Terr](A),Biswanath[Terr](A),Territory,Sylhet South[Reg](A)
Biani Bazar[Terr](A),Biani Bazar[Terr](A),Biani Bazar[Terr](A),Territory,Sylhet South[Reg](A)
Moulovibazar[Terr](A),Moulovibazar[Terr](A),Moulovibazar[Terr](A),Territory,Sreemangal[Reg](A)
Borolekha[Terr](A),Borolekha[Terr](A),Borolekha[Terr](A),Territory,Sreemangal[Reg](A)
Hobigonj[Terr](A),Hobigonj[Terr](A),Hobigonj[Terr](A),Territory,Sreemangal[Reg](A)
Nobigonj[Terr](A),Nobigonj[Terr](A),Nobigonj[Terr](A),Territory,Sreemangal[Reg](A)
Shayestagonj[Terr](A),Shayestagonj[Terr](A),Shayestagonj[Terr](A),Territory,Sreemangal[Reg](A)
Rangpur[Terr](A),Rangpur[Terr](A),Rangpur[Terr](A),Territory,Rangpur[Reg](A)
Kurigram[Terr](A),Kurigram[Terr](A),Kurigram[Terr](A),Territory,Rangpur[Reg](A)
Lalmonirhat[Terr](A),Lalmonirhat[Terr](A),Lalmonirhat[Terr](A),Territory,Rangpur[Reg](A)
Gaibanda[Terr](A),Gaibanda[Terr](A),Gaibanda[Terr](A),Territory,Rangpur[Reg](A)
Dinajpur[Terr](A),Dinajpur[Terr](A),Dinajpur[Terr](A),Territory,Dinajpur[Reg](A)
Soyedpur[Terr](A),Soyedpur[Terr](A),Soyedpur[Terr](A),Territory,Dinajpur[Reg](A)
Thakurgaon[Terr](A),Thakurgaon[Terr](A),Thakurgaon[Terr](A),Territory,Dinajpur[Reg](A)
Bogra[Terr](A),Bogra[Terr](A),Bogra[Terr](A),Territory,Bogra[Reg](A)
Noagaon[Terr](A),Noagaon[Terr](A),Noagaon[Terr](A),Territory,Bogra[Reg](A)
Sirajgonj[Terr](A),Sirajgonj[Terr](A),Sirajgonj[Terr](A),Territory,Bogra[Reg](A)
Rajshahi[Terr](A),Rajshahi[Terr](A),Rajshahi[Terr](A),Territory,Rajshahi[Reg](A)
Natore[Terr](A),Natore[Terr](A),Natore[Terr](A),Territory,Rajshahi[Reg](A)
Pabna[Terr](A),Pabna[Terr](A),Pabna[Terr](A),Territory,Rajshahi[Reg](A)
Khulna[Terr](A),Khulna[Terr](A),Khulna[Terr](A),Territory,Khulna[Reg](A)
Bagerhat[Terr](A),Bagerhat[Terr](A),Bagerhat[Terr](A),Territory,Khulna[Reg](A)
Pirojpur[Terr](A),Pirojpur[Terr](A),Pirojpur[Terr](A),Territory,Khulna[Reg](A)
Satkhira[Terr](A),Satkhira[Terr](A),Satkhira[Terr](A),Territory,Khulna[Reg](A)
Jessore[Terr](A),Jessore[Terr](A),Jessore[Terr](A),Territory,Jessore[Reg](A)
Jhenaidah[Terr](A),Jhenaidah[Terr](A),Jhenaidah[Terr](A),Territory,Jessore[Reg](A)
Norail[Terr](A),Norail[Terr](A),Norail[Terr](A),Territory,Jessore[Reg](A)
Kustia[Terr](A),Kustia[Terr](A),Kustia[Terr](A),Territory,Jessore[Reg](A)
Chuadanga[Terr](A),Chuadanga[Terr](A),Chuadanga[Terr](A),Territory,Jessore[Reg](A)
Barishal[Terr](A),Barishal[Terr](A),Barishal[Terr](A),Territory,Barisal[Reg](A)
Bhola[Terr](A),Bhola[Terr](A),Bhola[Terr](A),Territory,Barisal[Reg](A)
Jhalokathi[Terr](A),Jhalokathi[Terr](A),Jhalokathi[Terr](A),Territory,Barisal[Reg](A)
